target,session_id,region,stimulus_family,n_supervised_rows,n_trials,status,observed_baseline_r2,observed_memory_r2,observed_memory_gain_r2,shuffle_gain_mean,shuffle_gain_sd,observed_minus_shuffle_mean,empirical_p_shuffle_ge_observed,fraction_shuffle_positive,n_valid_shuffles,session_id_synthesis,lag_label,lags,n_lags
population_rate_entropy,715093703,CA1,spontaneous,2071,15,ok,0.1766947097874124,0.2734419660816017,0.0967472562941893,-0.0038396415080583,0.0025233461125993,0.1005868978022476,0.0196078431372549,0.1,50,715093703,lag12,"1,2",2
population_rate_entropy,715093703,LGd,spontaneous,2071,15,ok,0.3030343310231586,0.3336331688494458,0.0305988378262872,-0.0036206685122607,0.0018866565648538,0.034219506338548,0.0196078431372549,0.02,50,715093703,lag12,"1,2",2
population_rate_entropy,715093703,VISl,spontaneous,2071,15,ok,0.3671942603306887,0.4716938390751737,0.104499578744485,-0.0032337310514276,0.0017057468320417,0.1077333097959127,0.0196078431372549,0.04,50,715093703,lag12,"1,2",2
population_rate_entropy,715093703,VISp,spontaneous,2071,15,ok,0.6221265846703372,0.653888115494978,0.0317615308246408,-0.0006938058473638,0.0026714879814195,0.0324553366720046,0.0196078431372549,0.36,50,715093703,lag12,"1,2",2
population_mean_rate_hz,715093703,CA1,spontaneous,2071,15,ok,0.1075307031008051,0.1548576497901231,0.047326946689318,-0.0037732412991221,0.0033305175952805,0.0511001879884401,0.0196078431372549,0.16,50,715093703,lag12,"1,2",2
population_mean_rate_hz,715093703,LGd,spontaneous,2071,15,ok,0.4943281235827373,0.5099113229395623,0.0155831993568249,-0.0023912654380775,0.0013798686635696,0.0179744647949025,0.0196078431372549,0.04,50,715093703,lag12,"1,2",2
population_mean_rate_hz,715093703,VISl,spontaneous,2071,15,ok,0.4149056871020068,0.4911359140106753,0.0762302269086685,-0.0030451012086524,0.001635462448812,0.0792753281173209,0.0196078431372549,0.04,50,715093703,lag12,"1,2",2
population_mean_rate_hz,715093703,VISp,spontaneous,2071,15,ok,0.5111251225302448,0.5356016118437119,0.0244764893134671,-0.0025512350450249,0.001477522191373,0.027027724358492,0.0196078431372549,0.04,50,715093703,lag12,"1,2",2
population_state_speed,715093703,CA1,spontaneous,2071,15,ok,0.1251049296160619,0.1471346755550523,0.0220297459389904,-0.0047814562646913,0.0022445227628504,0.0268112022036817,0.0196078431372549,0.02,50,715093703,lag12,"1,2",2
population_state_speed,715093703,LGd,spontaneous,2071,15,ok,0.0329353536712772,0.0268223755864762,-0.0061129780848009,-0.0048954145879017,0.002959648639517,-0.0012175634968991,0.6274509803921569,0.04,50,715093703,lag12,"1,2",2
