target,n_ok_groups,median_baseline_r2,median_memory_r2,median_observed_gain,mean_observed_gain,fraction_observed_positive,median_shuffle_gain_mean,mean_shuffle_gain_mean,median_observed_minus_shuffle,mean_observed_minus_shuffle,fraction_observed_above_shuffle_mean,median_empirical_p,min_empirical_p,rank_by_controlled_memory,session_id_synthesis,lag_label,lags,n_lags
population_state_speed,4,0.1157784521972822,0.1204270375690198,0.0018489541793595,0.00415759748832,0.75,-0.0023408064417442,-0.0023532089973332,0.0042567355992362,0.0065108064856532,1.0,0.0392156862745098,0.0196078431372549,4,719161530,lag1,1,1
active_unit_fraction,4,0.3655614531550856,0.4100050609598857,0.0444436078048,0.0408692473327274,1.0,-0.001584996303502,-0.001510910045188,0.046028604108302,0.0423801573779155,1.0,0.0196078431372549,0.0196078431372549,1,719161530,lag2,2,1
population_rate_entropy,4,0.2973927528117416,0.3410062064490475,0.0414370457092421,0.0413573649323773,1.0,-0.0017471453119168,-0.0017324580634892,0.0433652695676317,0.0430898229958666,1.0,0.0196078431372549,0.0196078431372549,2,719161530,lag2,2,1
population_mean_rate_hz,4,0.3686762342366366,0.3882688032883201,0.0256818691761952,0.0226372191139393,1.0,-0.0016406049378188,-0.0016683792405148,0.0273780227194062,0.0243055983544542,1.0,0.0196078431372549,0.0196078431372549,3,719161530,lag2,2,1
population_state_speed,4,0.1147295356202487,0.1242938719508174,0.0095643363305687,0.0080509011367327,0.75,-0.0024956220160813,-0.002489851390219,0.0120484170949255,0.0105407525269517,1.0,0.0196078431372549,0.0196078431372549,4,719161530,lag2,2,1
active_unit_fraction,4,0.3655614531550856,0.4309029809530109,0.0626438044055023,0.0588930885979549,1.0,-0.0033432465032625,-0.0032540459081221,0.0660973252588628,0.062147134506077,1.0,0.0196078431372549,0.0196078431372549,1,719161530,lag12,"1,2",2
population_rate_entropy,4,0.2973927528117416,0.3564266006281308,0.0590338478163892,0.0549330030053003,1.0,-0.0034910804690455,-0.0035303764283913,0.0626035202041262,0.0584633794336916,1.0,0.0196078431372549,0.0196078431372549,2,719161530,lag12,"1,2",2
population_mean_rate_hz,4,0.3686762342366366,0.3959854902796431,0.0375428265175987,0.0328700793512096,1.0,-0.0031788036185821,-0.003289572593837,0.0414395637746197,0.0361596519450466,1.0,0.0196078431372549,0.0196078431372549,3,719161530,lag12,"1,2",2
population_state_speed,4,0.1147295356202487,0.1255235297523598,0.0079063849724122,0.0087068657253017,1.0,-0.0050421221765428,-0.0050487026886743,0.012948507148955,0.0137555684139761,1.0,0.0196078431372549,0.0196078431372549,4,719161530,lag12,"1,2",2
active_unit_fraction,4,0.3643962817633651,0.4359364945899951,0.07154021282663,0.0647965477246773,1.0,-0.0045818163816938,-0.0044998604472895,0.0761220292083239,0.0692964081719668,1.0,0.0196078431372549,0.0196078431372549,1,719161530,lag123,"1,2,3",3
